Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
Baguussss aplikasinya mengcover semuanya,baguuss aplikasinya mengcover semuanya,baguuss aplikasinya mengcover semuanya,baguuss aplikasinya mengcover semuanya,baguuss aplikasi mengcover semua,baguuss aplikasi mengcover semua,baguuss mengcover semua
Aplikasi yang sangat membantu warga kota yogyakarta,aplikasi yang sangat membantu warga kota yogyakarta,aplikasi yang sangat membantu warga kota yogyakarta,aplikasi yang sangat bantu warga kota yogyakarta,aplikasi yang sangat bantu warga kota yogyakarta,aplikasi yang sangat bantu warga kota yogyakarta,sangat bantu warga kota
Aplikasinya sangat membantu,aplikasinya sangat membantu,aplikasinya sangat membantu,aplikasinya sangat bantu,aplikasi sangat bantu,aplikasi sangat bantu,sangat bantu
Aplikasinya sangat membantu dan bermanfaat bagi masyarakat dan ASN,aplikasinya sangat membantu dan bermanfaat bagi masyarakat dan asn,aplikasinya sangat membantu dan bermanfaat bagi masyarakat dan asn,aplikasinya sangat bantu dan manfaat bagi masyarakat dan asn,aplikasi sangat bantu dan manfaat bagi masyarakat dan asn,aplikasi sangat bantu dan manfaat bagi masyarakat dan asn,sangat bantu manfaat bagi asn
Aplikasinya yang sangat bermanfaat,aplikasinya yang sangat bermanfaat,aplikasinya yang sangat bermanfaat,aplikasinya yang sangat manfaat,aplikasi yang sangat manfaat,aplikasi yang sangat manfaat,sangat manfaat
Semakin sukses,semakin sukses,semakin sukses,semakin sukses,makin sukses,makin sukses,makin sukses
Mantap.. Sangat membantu😃👍,mantap.. sangat membantu😃👍,mantap.. sangat membantu grinning face with big eyes  bagus ,mantap.. sangat bantu grinning face with big eyes bagus,mantap sangat bantu grinning face with big eyes bagus,mantap sangat bantu grinning face with big eyes bagus,mantap sangat bantu grinning face with big eyes bagus
sangat memudahkan,sangat memudahkan,sangat memudahkan,sangat memudahkan,sangat mudah,sangat mudah,sangat mudah
Sudah ok,sudah ok,sudah ok,sudah oke,sudah oke,sudah oke,oke
"Mempermudah layanan dan akses informasi di Kota Jogja, aplikasi mudah digunakan","mempermudah layanan dan akses informasi di kota jogja, aplikasi mudah digunakan","mempermudah layanan dan akses informasi di kota jogja, aplikasi mudah digunakan","mempermudah layanan dan akses informasi di kota jogja, aplikasi mudah digunakan",mudah layan dan akses informasi di kota jogja aplikasi mudah guna,mudah layan dan akses informasi di kota jogja aplikasi mudah guna,mudah layan kota jogja mudah guna
Aplikasi yang membantu untuk warga kota Yogyakarta. 👍,aplikasi yang membantu untuk warga kota yogyakarta. 👍,aplikasi yang membantu untuk warga kota yogyakarta.  bagus ,aplikasi yang bantu untuk warga kota yogyakarta. bagus,aplikasi yang bantu untuk warga kota yogyakarta bagus,aplikasi yang bantu untuk warga kota yogyakarta bagus,bantu warga kota bagus
"Aplikasi yang sangat hebat, canggih, berisi anek macam pelayanan publik, sangat membantu dan memberi kemudahan bagi masyarakat dalam mengakses pelayanan pemerintah kota yogyakarta.","aplikasi yang sangat hebat, canggih, berisi anek macam pelayanan publik, sangat membantu dan memberi kemudahan bagi masyarakat dalam mengakses pelayanan pemerintah kota yogyakarta.","aplikasi yang sangat hebat, canggih, berisi anek macam pelayanan publik, sangat membantu dan memberi kemudahan bagi masyarakat dalam mengakses pelayanan pemerintah kota yogyakarta.","aplikasi yang sangat hebat, canggih, berisi anek macam pelayanan publik, sangat bantu dan memberi kemudahan bagi masyarakat dalam mengakses pelayanan pemerintah kota yogyakarta.",aplikasi yang sangat hebat canggih isi anek macam layan publik sangat bantu dan beri mudah bagi masyarakat dalam akses layan perintah kota yogyakarta,aplikasi yang sangat hebat canggih isi anek macam layan publik sangat bantu dan beri mudah bagi masyarakat dalam akses layan perintah kota yogyakarta,sangat hebat canggih anek macam layan publik sangat bantu beri mudah bagi layan perintah kota
Ok lah,ok lah,ok lah,oke lah,oke lah,oke lah,oke
Sangat membantu dalam pelayanan kpd masyarakat dan pelaksanaan pekerjaan...,sangat membantu dalam pelayanan kpd masyarakat dan pelaksanaan pekerjaan..,sangat membantu dalam pelayanan kpd masyarakat dan pelaksanaan pekerjaan..,sangat bantu dalam pelayanan kepada masyarakat dan pelaksanaan pekerjaan..,sangat bantu dalam layan kepada masyarakat dan laksana kerja,sangat bantu dalam layan kepada masyarakat dan laksana kerja,sangat bantu layan kepada laksana kerja
Sangat berguna dan aplikatif,sangat berguna dan aplikatif,sangat berguna dan aplikatif,sangat berguna dan aplikatif,sangat guna dan aplikatif,sangat guna dan aplikatif,sangat guna aplikatif
Wow keren jss jogja kota 🙋‍♀️ mantab aplikasinya dan bisa membantu mempercepat informasi dan urusan surat- menyurat 👍🙏,wow keren jss jogja kota 🙋‍♀️ mantab aplikasinya dan bisa membantu mempercepat informasi dan urusan surat- menyurat 👍🙏,wow keren jss jogja kota  woman raising hand  mantab aplikasinya dan bisa membantu mempercepat informasi dan urusan surat- menyurat  bagus  terima kasih ,wow bagus jss yogyakarta kota woman raising hand bagus aplikasinya dan bisa bantu mempercepat informasi dan urusan surat- menyurat bagus terima kasih,wow bagus jss yogyakarta kota woman raising hand bagus aplikasi dan bisa bantu cepat informasi dan urus surat- surat bagus terima kasih,wow bagus jss yogyakarta kota woman raising hand bagus aplikasi dan bisa bantu cepat informasi dan urus surat surat bagus terima kasih,wow bagus kota woman raising hand bagus bisa bantu cepat urus surat surat bagus terima kasih
Pemkot jogja is the best,pemkot jogja is the best,pemkot jogja is the best,pemerintah kota yogyakarta is the terbaik,perintah kota yogyakarta is the baik,perintah kota yogyakarta is the baik,perintah kota is the baik
Masyarakat mudah memperoleh informasi,masyarakat mudah memperoleh informasi,masyarakat mudah memperoleh informasi,masyarakat mudah memperoleh informasi,masyarakat mudah oleh informasi,masyarakat mudah oleh informasi,mudah
"Aplikasi yang bermanfaat, mempermudah, efektif dan efisien dalam berbagai hal","aplikasi yang bermanfaat, mempermudah, efektif dan efisien dalam berbagai hal","aplikasi yang bermanfaat, mempermudah, efektif dan efisien dalam berbagai hal","aplikasi yang bermanfaat, mempermudah, efektif dan efisien dalam berbagai hal",aplikasi yang manfaat mudah efektif dan efisien dalam bagai hal,aplikasi yang manfaat mudah efektif dan efisien dalam bagai hal,manfaat mudah efektif efisien bagai hal
Dengan adanya Aplikasi JSS lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,dengan adanya aplikasi jss lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,dengan adanya aplikasi jss lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,dengan adanya aplikasi jss lebih mempermudah untuk berbagai informasi dan pelayanan yang dibutuhkan masyarakat,dengan ada aplikasi jss lebih mudah untuk bagai informasi dan layan yang butuh masyarakat,dengan ada aplikasi jss lebih mudah untuk bagai informasi dan layan yang butuh masyarakat,lebih mudah bagai layan butuh
Dengan aplikasi JSS semua urusan jadi lebih mudah alhamdulillah,dengan aplikasi jss semua urusan jadi lebih mudah alhamdulillah,dengan aplikasi jss semua urusan jadi lebih mudah alhamdulillah,dengan aplikasi jss semua urusan jadi lebih mudah alhamdulillah,dengan aplikasi jss semua urus jadi lebih mudah alhamdulillah,dengan aplikasi jss semua urus jadi lebih mudah alhamdulillah,semua urus jadi lebih mudah alhamdulillah
Memudahkan pelayanam,memudahkan pelayanam,memudahkan pelayanam,memudahkan pelayanam,mudah pelayanam,mudah pelayanam,mudah pelayanam
Aplikasi sangat bermanfangat...,aplikasi sangat bermanfangat..,aplikasi sangat bermanfangat..,aplikasi sangat bermanfangat..,aplikasi sangat bermanfangat,aplikasi sangat bermanfangat,sangat bermanfangat
praktis dalam penyampaian keluhan dan meresponnya cepat,praktis dalam penyampaian keluhan dan meresponnya cepat,praktis dalam penyampaian keluhan dan meresponnya cepat,praktis dalam penyampaian keluhan dan meresponnya cepat,praktis dalam sampai keluh dan meresponnya cepat,praktis dalam sampai keluh dan meresponnya cepat,praktis sampai keluh meresponnya cepat
Sangat bermanfaat dan membantu dalam layanan kepada Masyarakat dan Pegawai,sangat bermanfaat dan membantu dalam layanan kepada masyarakat dan pegawai,sangat bermanfaat dan membantu dalam layanan kepada masyarakat dan pegawai,sangat manfaat dan bantu dalam layanan kepada masyarakat dan pegawai,sangat manfaat dan bantu dalam layan kepada masyarakat dan pegawai,sangat manfaat dan bantu dalam layan kepada masyarakat dan pegawai,sangat manfaat bantu layan kepada pegawai
Aplikasinya membantu bagi Masyarakat dan ASN di lingkungan Kota Yogyakarts dalam hal pelayanan dsb.,aplikasinya membantu bagi masyarakat dan asn di lingkungan kota yogyakarts dalam hal pelayanan dsb.,aplikasinya membantu bagi masyarakat dan asn di lingkungan kota yogyakarts dalam hal pelayanan dsb.,aplikasinya bantu bagi masyarakat dan asn di lingkungan kota yogyakarts dalam hal pelayanan dsb.,aplikasi bantu bagi masyarakat dan asn di lingkung kota yogyakarts dalam hal layan dsb,aplikasi bantu bagi masyarakat dan asn di lingkung kota yogyakarts dalam hal layan dsb,bantu bagi asn lingkung kota yogyakarts hal layan
Sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,sangat manfaat,sangat manfaat,sangat manfaat,sangat manfaat
"Aplikasi lengkap, cepat, dan mudah digunakan. Info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. Semoga dapat berkembang menjadi lebih baik lagi.","aplikasi lengkap, cepat, dan mudah digunakan. info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. semoga dapat berkembang menjadi lebih baik lagi.","aplikasi lengkap, cepat, dan mudah digunakan. info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. semoga dapat berkembang menjadi lebih baik lagi.","aplikasi lengkap, cepat, dan mudah digunakan. info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. semoga dapat berkembang menjadi lebih baik lagi.",aplikasi lengkap cepat dan mudah guna info kini juga dapat segera akses oleh masyarakat lalu aplikasi ini moga dapat kembang jadi lebih baik lagi,aplikasi lengkap cepat dan mudah guna info kini juga dapat segera akses oleh masyarakat lalu aplikasi ini moga dapat kembang jadi lebih baik lagi,lengkap cepat mudah guna kini dapat lalu moga dapat kembang jadi lebih baik lagi
"Sangat bagus, tingkatkan terus utk pelayanan kpd masyarakat yg lebih baik.","sangat bagus, tingkatkan terus utk pelayanan kpd masyarakat yg lebih baik.","sangat bagus, tingkatkan terus utk pelayanan kpd masyarakat yg lebih baik.","sangat bagus, tingkatkan terus untuk pelayanan kepada masyarakat yg lebih baik.",sangat bagus tingkat terus untuk layan kepada masyarakat yg lebih baik,sangat bagus tingkat terus untuk layan kepada masyarakat yg lebih baik,sangat bagus tingkat terus layan kepada yg lebih baik
Semoga makin bermafaat,semoga makin bermafaat,semoga makin bermafaat,semoga makin bermafaat,moga makin bermafaat,moga makin bermafaat,moga makin bermafaat
Sangat membantu,sangat membantu,sangat membantu,sangat bantu,sangat bantu,sangat bantu,sangat bantu
Aplikasi super lengkap pelayanan publik.. semoga kedepannya semakin baik..,aplikasi super lengkap pelayanan publik.. semoga kedepannya semakin baik..,aplikasi super lengkap pelayanan publik.. semoga kedepannya semakin baik..,aplikasi super lengkap pelayanan publik.. semoga kedepannya semakin baik..,aplikasi super lengkap layan publik moga depan makin baik,aplikasi super lengkap layan publik moga depan makin baik,super lengkap layan publik moga depan makin baik
Aplikasi nya mantap,aplikasi nya mantap,aplikasi nya mantap,aplikasi nya bagus,aplikasi nya bagus,aplikasi nya bagus,bagus
Sangat bermanfaat bagi masyarakat Kota Yogyakarts,sangat bermanfaat bagi masyarakat kota yogyakarts,sangat bermanfaat bagi masyarakat kota yogyakarts,sangat manfaat bagi masyarakat kota yogyakarts,sangat manfaat bagi masyarakat kota yogyakarts,sangat manfaat bagi masyarakat kota yogyakarts,sangat manfaat bagi kota yogyakarts
Aplikasi yg sangat bermanfaa👍,aplikasi yg sangat bermanfaa👍,aplikasi yg sangat bermanfaa bagus ,aplikasi yg sangat bermanfaa bagus,aplikasi yg sangat bermanfaa bagus,aplikasi yg sangat bermanfaa bagus,yg sangat bermanfaa bagus
Berguna bagi asn dan masyarakat umum dlam mencari informasi administrasi pelayanan publik,berguna bagi asn dan masyarakat umum dlam mencari informasi administrasi pelayanan publik,berguna bagi asn dan masyarakat umum dlam mencari informasi administrasi pelayanan publik,berguna bagi asn dan masyarakat umum dlam mencari informasi administrasi pelayanan publik,guna bagi asn dan masyarakat umum dlam cari informasi administrasi layan publik,guna bagi asn dan masyarakat umum dlam cari informasi administrasi layan publik,guna bagi asn umum dlam cari administrasi layan publik
Aplikasi keren bisa lihat sudut jogja dari aplikasi,aplikasi keren bisa lihat sudut jogja dari aplikasi,aplikasi keren bisa lihat sudut jogja dari aplikasi,aplikasi bagus bisa lihat sudut yogyakarta dari aplikasi,aplikasi bagus bisa lihat sudut yogyakarta dari aplikasi,aplikasi bagus bisa lihat sudut yogyakarta dari aplikasi,bagus bisa sudut
Bermanfaat,bermanfaat,bermanfaat,manfaat,manfaat,manfaat,manfaat
Terlengkap,terlengkap,terlengkap,terlengkap,lengkap,lengkap,lengkap
Aplikasi yg sangat lengkap & mudah digunakan oleh masyarakat,aplikasi yg sangat lengkap & mudah digunakan oleh masyarakat,aplikasi yg sangat lengkap & mudah digunakan oleh masyarakat,aplikasi yg sangat lengkap & mudah digunakan oleh masyarakat,aplikasi yg sangat lengkap mudah guna oleh masyarakat,aplikasi yg sangat lengkap mudah guna oleh masyarakat,yg sangat lengkap mudah guna
Mudah digunakan dan sangat membantu,mudah digunakan dan sangat membantu,mudah digunakan dan sangat membantu,mudah digunakan dan sangat bantu,mudah guna dan sangat bantu,mudah guna dan sangat bantu,mudah guna sangat bantu
Sangat bermanfaat bagi warga kota yogyakarta. Untuk mengetahui informasi,sangat bermanfaat bagi warga kota yogyakarta. untuk mengetahui informasi,sangat bermanfaat bagi warga kota yogyakarta. untuk mengetahui informasi,sangat manfaat bagi warga kota yogyakarta. untuk mengetahui informasi,sangat manfaat bagi warga kota yogyakarta untuk tahu informasi,sangat manfaat bagi warga kota yogyakarta untuk tahu informasi,sangat manfaat bagi warga kota tahu
Sangat lengkap dan memudahkan urusan2 kami sbg warga kota jogja,sangat lengkap dan memudahkan urusan2 kami sbg warga kota jogja,sangat lengkap dan memudahkan urusan2 kami sbg warga kota jogja,sangat lengkap dan memudahkan urusan2 kami sebagai warga kota yogyakarta,sangat lengkap dan mudah urusan2 kami bagai warga kota yogyakarta,sangat lengkap dan mudah urusan kami bagai warga kota yogyakarta,sangat lengkap mudah urusan bagai warga kota
"Usefull, aplikasi mudah dijalankan. Tangguh dan aman, mantaab !! sangat berguna bagi masyarakat utk menyampaikan masukan Respon selalu cepat dan terpantau. Pilihan layanan semakin lengkap, kereennn abis !","usefull, aplikasi mudah dijalankan. tangguh dan aman, mantaab !! sangat berguna bagi masyarakat utk menyampaikan masukan respon selalu cepat dan terpantau. pilihan layanan semakin lengkap, kereenn abis !","usefull, aplikasi mudah dijalankan. tangguh dan aman, mantaab !! sangat berguna bagi masyarakat utk menyampaikan masukan respon selalu cepat dan terpantau. pilihan layanan semakin lengkap, kereenn abis !","usefull, aplikasi mudah dijalankan. tangguh dan aman, mantaab !! sangat berguna bagi masyarakat untuk menyampaikan masukan respon selalu cepat dan terpantau. pilihan layanan semakin lengkap, kereenn abis !",usefull aplikasi mudah jalan tangguh dan aman mantaab sangat guna bagi masyarakat untuk sampai masuk respon selalu cepat dan pantau pilih layan makin lengkap kereenn abis,usefull aplikasi mudah jalan tangguh dan aman mantaab sangat guna bagi masyarakat untuk sampai masuk respon selalu cepat dan pantau pilih layan makin lengkap kereenn abis,usefull mudah jalan tangguh aman mantaab sangat guna bagi sampai respon cepat pantau layan makin lengkap kereenn abis
Komplit plit plit.. 👍,komplit plit plit.. 👍,komplit plit plit..  bagus ,komplit plit plit.. bagus,komplit plit plit bagus,komplit plit plit bagus,komplit plit plit bagus
Aplikasi yang sangat bermanfaat dan lengkap. Semoga kedepannya semakin oke,aplikasi yang sangat bermanfaat dan lengkap. semoga kedepannya semakin oke,aplikasi yang sangat bermanfaat dan lengkap. semoga kedepannya semakin oke,aplikasi yang sangat manfaat dan lengkap. semoga kedepannya semakin oke,aplikasi yang sangat manfaat dan lengkap moga depan makin oke,aplikasi yang sangat manfaat dan lengkap moga depan makin oke,sangat manfaat lengkap moga depan makin oke
Mantap. Aplikasinya cukup membantu masyarakat kota Jogja guna mengakses layanan pemerintah kota,mantap. aplikasinya cukup membantu masyarakat kota jogja guna mengakses layanan pemerintah kota,mantap. aplikasinya cukup membantu masyarakat kota jogja guna mengakses layanan pemerintah kota,mantap. aplikasinya cukup bantu masyarakat kota yogyakarta guna mengakses layanan pemerintah kota,mantap aplikasi cukup bantu masyarakat kota yogyakarta guna akses layan perintah kota,mantap aplikasi cukup bantu masyarakat kota yogyakarta guna akses layan perintah kota,mantap cukup bantu kota guna layan perintah kota
